Dates,Open,Hign,Low,Closing
20070918,5524.099,5533.532,5405.184,5476.839
20070919,5487.377,5498.594,5385.424,5419.268
20070920,5436.641,5501.399,5430.309,5494.915
20070921,5508.505,5516.107,5357.504,5468.098
20070924,5481.382,5541.134,5400.679,5513.895
20070925,5524.016,5540.873,5423.525,5454.615
20070926,5433.63,5489.858,5338.305,5361.021
20070927,5364.529,5429.052,5338.044,5427.657
20070928,5479.853,5590.849,5479.853,5580.813
20071008,5703.28,5715.907,5617.097,5653.136
20071009,5638.633,5682.967,5582.771,5675.927
20071010,5694.986,5776.209,5653.789,5685.759
20071011,5695.128,5761.216,5650.104,5760.078
20071012,5777.898,5796.28,5485.564,5737.221
20071015,5761.869,5824.976,5690.07,5821.447
20071016,5851.538,5885.484,5815.609,5877.202
20071017,5862.378,5891.723,5797.611,5824.117
